category_id,cod_prod,descricao,unid_medida,layer_pallet,ballast,box_by_pallet,height,length,width,weight_gross,weight_liquid,ean_box,ean,factor,cubagem
6,03.92511,L L LIQ ATOL LIMAO FR 24X500ML,CX,12,7,84,23.2,36.9,24.6,13.15,12,17896055502695,7896055502698,24,0
6,03.92512,L L LIQ ATOL NEUTRO FR 24X500ML,CX,12,7,84,23.2,36.9,24.6,13.15,12,17896055502718,7896055502711,24,0
6,03.92513,L L LIQ ATOL CRISTAL FR 24X500ML,CX,12,7,84,23.2,36.9,24.6,13.15,12,17896055502756,7896055502759,24,0
6,04.0501,DES PINHO YPE TRADICAO FR 12X500ML,CX,18,6,108,24.2,27.9,21,6.45,5.88,67896098900606,7896098900604,12,0
6,04.050101,DES PINHO YPE TRADICAO FR 12X500ML E3,CX,18,6,108,24.2,27.9,21,6.5,5.88,27896098900608,7896098900604,12,0
6,04.050103,DES PINHO YPE TRADICAO FR 12X500ML IN,CX,18,6,108,24.2,27.9,21,6.45,5.88,17896098902292,7896098900604,12,0
6,04.050104,DES PINHO YPE TRADICAO FR 12X500ML ES,CX,18,6,108,24.2,27.9,21,6.45,5.88,17896098902308,7896098900604,12,0
6,04.050106,DES PINHO YPE TRADICAO FR 12X500ML TR,CX,18,6,108,24.2,27.9,21,6.45,5.88,37896098900605,,0,0
6,04.050111,DES PINHO YPE TRADICAO FR 12X500ML JAP,CX,18,6,108,24.2,27.9,21,6.45,5.88,17896098904647,7896098900604,12,0
6,04.050113,DES PINHO YPE TRADICAO FR 12X500ML AR,CX,18,6,108,24.2,27.9,21,6.45,5.88,67896098906721,7896098900604,12,0
6,04.050114,DES PINHO YPE TRADICAO FR 12X500ML FR,CX,18,6,108,24.2,27.9,21,6.45,5.88,57896098901750,7896098900604,12,0
6,04.050118,DES PINHO YPE TRADICAO FR 12X500ML EX,CX,18,6,108,24.2,27.9,21,6.45,5.88,97896098900607,7896098900604,12,0
6,04.0502,DES PINHO YPE CITRUS FR 12X500ML,CX,18,6,108,24.2,27.9,21,6.45,5.88,67896098900613,7896098900611,12,0
6,04.050203,DES PINHO YPE CITRUS FR 12X500ML IN,CX,18,6,108,24.2,27.9,21,6.45,5.88,17896098902315,7896098900611,12,0
6,04.050204,DES PINHO YPE CITRUS FR 12X500ML ES,CX,18,6,108,24.2,27.9,21,6.45,5.88,17896098902322,7896098900611,12,0
6,04.050211,DES PINHO YPE CITRUS FR 12X500ML JAP,CX,18,6,108,24.2,27.9,21,6.45,5.88,17896098904654,7896098900611,12,0
6,04.050213,DES PINHO YPE CITRUS FR 12X500ML AR,CX,18,6,108,24.2,27.9,21,6.45,5.88,17896098909703,7896098900611,12,0
6,04.050214,DES PINHO YPE CITRUS FR 12X500ML FR,CX,18,6,108,24.2,27.9,21,6.45,5.88,57896098902740,7896098900611,12,0
6,04.050218,DES PINHO YPE CITRUS FR 12X500ML EX,CX,18,6,108,24.2,27.9,21,6.45,5.88,97896098900614,7896098900611,12,0
6,04.0503,DES PINHO YPE LAVANDA FR 12X500ML,CX,18,6,108,24.2,27.9,21,6.44,5.88,67896098900620,7896098900628,12,0
6,04.050303,DES PINHO YPE LAVANDA FR 12X500ML IN,CX,18,6,108,24.2,27.9,21,6.45,5.88,17896098902841,7896098900628,12,0
6,04.050304,DES PINHO YPE LAVANDA FR 12X500ML ES,CX,18,6,108,24.2,27.9,21,6.45,5.88,17896098902858,7896098900628,12,0
6,04.050306,DES PINHO YPE LAVANDA FR 12X500ML TR,CX,18,6,108,24.2,27.9,21,6.44,5.88,37896098900629,,0,0
